"filename", "language", "JSON", "Python", "HTML", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\jsulm\Desktop\chess\engine\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jsulm\Desktop\chess\engine\chessboard.py", "Python", 0, 159, 0, 0, 0, 0, 36, 25, 220
"c:\Users\jsulm\Desktop\chess\engine\constants.py", "Python", 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\jsulm\Desktop\chess\engine\helper.py", "Python", 0, 59, 0, 0, 0, 0, 14, 11, 84
"c:\Users\jsulm\Desktop\chess\engine\lookup_tables.py", "Python", 0, 152, 0, 0, 0, 0, 49, 38, 239
"c:\Users\jsulm\Desktop\chess\engine\move.py", "Python", 0, 25, 0, 0, 0, 0, 4, 4, 33
"c:\Users\jsulm\Desktop\chess\engine\movegen.py", "Python", 0, 216, 0, 0, 0, 0, 24, 52, 292
"c:\Users\jsulm\Desktop\chess\engine\piece.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jsulm\Desktop\chess\engine\square.py", "Python", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\jsulm\Desktop\chess\package-lock.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\jsulm\Desktop\chess\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\jsulm\Desktop\chess\run.py", "Python", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jsulm\Desktop\chess\server\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\jsulm\Desktop\chess\server\routes.py", "Python", 0, 24, 0, 0, 0, 0, 3, 3, 30
"c:\Users\jsulm\Desktop\chess\server\static\css\main.css", "CSS", 0, 0, 0, 0, 0, 71, 1, 13, 85
"c:\Users\jsulm\Desktop\chess\server\static\js\index.js", "JavaScript", 0, 0, 0, 124, 0, 0, 15, 18, 157
"c:\Users\jsulm\Desktop\chess\server\static\package-lock.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\jsulm\Desktop\chess\server\static\package.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\jsulm\Desktop\chess\server\static\sass\1-abstract\_functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jsulm\Desktop\chess\server\static\sass\1-abstract\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jsulm\Desktop\chess\server\static\sass\1-abstract\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jsulm\Desktop\chess\server\static\sass\2-base\_reset.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\jsulm\Desktop\chess\server\static\sass\4-components\_btn.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\jsulm\Desktop\chess\server\static\sass\4-components\_form.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\jsulm\Desktop\chess\server\static\sass\4-components\_square.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\jsulm\Desktop\chess\server\static\sass\5-pages\_home.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\jsulm\Desktop\chess\server\static\sass\main.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\jsulm\Desktop\chess\server\templates\base.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\jsulm\Desktop\chess\server\templates\home.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 32
"c:\Users\jsulm\Desktop\chess\testing.py", "Python", 0, 6, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 93, 721, 50, 124, 76, 71, 146, 202, 1483